Transaction_ID,Guest_ID,Cabin_Number,Transaction_Date,Transaction_Time,Category,Description,Venue,Quantity,Unit_Price,Amount,Service_Charge,Total,Status,Reference_ID,Posted_By,Notes
TXN00000118,G100173,8992,2026-01-17,12:52:34,Gratuity,Daily Gratuity,Auto-Charge,3,18,54,0,54,Posted,,System,3 guests
TXN00000114,G100052,5279,2026-01-17,13:17:35,Gratuity,Daily Gratuity,Auto-Charge,1,18,18,0,18,Posted,,System,1 guests
TXN00000040,G100163,4242,2026-01-18,08:19:29,Beverage,Craft Beer,Sports Bar,3,9,27,4.86,31.86,Posted,,System,
TXN00000080,G100080,4331,2026-01-18,11:31:33,Entertainment,Bingo Cards,Grand Theater,1,30,30,0,30,Posted,,System,
TXN00000188,G100028,4518,2026-01-18,12:37:34,Excursion,Shore Excursion Premium,Shore Excursions,1,149,149,0,149,Posted,EXCBK00047,System,
TXN00000119,G100173,8992,2026-01-18,13:15:03,Shopping,Logo T-Shirt,Gift Shop,3,34.99,104.97,0,104.97,Posted,,System,
TXN00000217,G100118,5623,2026-01-18,15:18:36,Shopping,Sunscreen SPF 50,Sundries,3,14.99,44.97,0,44.97,Posted,,System,
TXN00000149,G100030,5619,2026-01-18,19:35:31,Beverage,Cocktail - Pina Colada,Pool Bar,3,14,42,7.56,49.56,Pending,,System,
TXN00000073,G100166,5851,2026-01-18,19:38:52,Dining,Specialty Dining Cover,Ocean Blue,1,59,59,10.62,69.62,Posted,DRES000093,System,
TXN00000166,G100143,4781,2026-01-18,19:51:58,Communication,WiFi - Streaming Day,Guest Services,3,25,75,0,75,Posted,,System,
TXN00000116,G100052,5279,2026-01-18,23:24:57,Communication,WiFi - Streaming Day,Guest Services,3,25,75,0,75,Posted,,System,
TXN00000015,G100191,5416,2026-01-19,09:50:44,Gratuity,Daily Gratuity,Auto-Charge,4,18,72,0,72,Posted,,System,4 guests
TXN00000125,G100136,7877,2026-01-19,10:54:32,Gratuity,Daily Gratuity,Auto-Charge,4,18,72,0,72,Posted,,System,4 guests
TXN00000155,G100058,7928,2026-01-20,09:47:48,Beverage,Premium Wine - Glass,Wine Bar,1,18,18,3.24,21.24,Posted,,System,
TXN00000186,G100096,8789,2026-01-20,12:30:20,Spa,Mani-Pedi Combo,Serenity Spa,3,99,297,53.46,350.46,Posted,SPARES0046,System,
TXN00000109,G100045,4907,2026-01-20,13:46:03,Beverage,Champagne - Glass,Champagne Bar,2,22,44,7.92,51.92,Posted,,System,
TXN00000070,G100195,4581,2026-01-20,14:02:48,Excursion,Shore Excursion Group,Shore Excursions,2,69,138,0,138,Posted,EXCBK00166,System,
TXN00000214,G100042,6622,2026-01-20,17:55:52,Beverage,Champagne - Glass,Champagne Bar,2,22,44,7.92,51.92,Posted,,System,
TXN00000115,G100052,5279,2026-01-20,21:20:30,Communication,WiFi - Streaming Voyage,Guest Services,1,149,149,0,149,Posted,,System,
TXN00000010,G100145,4859,2026-01-21,07:08:47,Beverage,Cocktail - Pina Colada,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000039,G100163,4242,2026-01-21,08:30:28,Spa,Deep Tissue Massage,Serenity Spa,2,189,378,68.04,446.04,Posted,SPARES0162,System,
TXN00000122,G100167,6513,2026-01-21,08:41:36,Communication,WiFi - Streaming Voyage,Guest Services,1,149,149,0,149,Posted,,System,
TXN00000205,G100171,5320,2026-01-21,09:22:22,Excursion,Shore Excursion Group,Shore Excursions,2,69,138,0,138,Posted,EXCBK00118,System,
TXN00000148,G100030,5619,2026-01-21,10:42:33,Spa,Deep Tissue Massage,Serenity Spa,2,189,378,68.04,446.04,Posted,SPARES0057,System,
TXN00000074,G100166,5851,2026-01-21,15:19:28,Dining,Specialty Dining Cover,The Steakhouse,2,65,130,23.4,153.4,Posted,DRES000309,System,
TXN00000107,G100107,5600,2026-01-21,15:37:21,Spa,Deep Tissue Massage,Serenity Spa,2,189,378,68.04,446.04,Posted,SPARES0130,System,
TXN00000096,G100034,7895,2026-01-21,17:32:35,Spa,Facial Treatment,Serenity Spa,1,199,199,35.82,234.82,Posted,SPARES0028,System,
TXN00000158,G100199,7960,2026-01-21,19:02:36,Entertainment,Casino Credits,Casino,2,50,100,0,100,Posted,,System,
TXN00000181,G100095,8621,2026-01-21,19:24:49,Excursion,Shore Excursion,Shore Excursions,2,89,178,0,178,Posted,EXCBK00022,System,
TXN00000034,G100192,4935,2026-01-21,20:53:44,Shopping,Ship Model,Gift Shop,3,49.99,149.97,0,149.97,Posted,,System,
TXN00000187,G100096,8789,2026-01-21,21:36:50,Communication,WiFi - Streaming Voyage,Guest Services,3,149,447,0,447,Posted,,System,
TXN00000130,G100129,5149,2026-01-22,06:16:41,Communication,WiFi - Streaming Voyage,Guest Services,3,149,447,0,447,Posted,,System,
TXN00000092,G100094,6904,2026-01-22,07:41:49,Beverage,Cocktail - Margarita,Pool Bar,1,14,14,2.52,16.52,Posted,,System,
TXN00000174,G100032,8538,2026-01-22,08:32:47,Excursion,Shore Excursion Group,Shore Excursions,1,69,69,0,69,Posted,EXCBK00089,System,
TXN00000024,G100194,8639,2026-01-22,10:36:42,Spa,Swedish Massage,Serenity Spa,1,159,159,28.62,187.62,Posted,SPARES0103,System,
TXN00000127,G100136,7877,2026-01-22,12:11:39,Communication,WiFi - Streaming Voyage,Guest Services,3,149,447,0,447,Posted,,System,
TXN00000185,G100098,5334,2026-01-22,16:27:52,Excursion,Shore Excursion Premium,Shore Excursions,2,149,298,0,298,Posted,EXCBK00167,System,
TXN00000193,G100060,8721,2026-01-23,07:36:41,Shopping,Perfume,Duty Free,3,79,237,0,237,Posted,,System,
TXN00000037,G100057,7240,2026-01-23,09:09:16,Spa,Deep Tissue Massage,Serenity Spa,1,189,189,34.02,223.02,Posted,SPARES0051,System,
TXN00000071,G100195,4581,2026-01-23,09:51:23,Beverage,Craft Beer,Sports Bar,2,9,18,3.24,21.24,Posted,,System,
TXN00000223,G100079,6675,2026-01-23,12:27:52,Dining,Room Service Delivery,Room Service,2,12.95,25.9,4.66,30.56,Posted,DRES000109,System,
TXN00000090,G100149,6383,2026-01-23,12:40:35,Communication,WiFi - Streaming Day,Guest Services,2,25,50,0,50,Posted,,System,
TXN00000209,G100155,7489,2026-01-23,12:52:24,Beverage,Champagne - Glass,Champagne Bar,1,22,22,3.96,25.96,Posted,,System,
TXN00000196,G100121,4161,2026-01-23,15:26:58,Beverage,Champagne - Glass,Champagne Bar,1,22,22,3.96,25.96,Posted,,System,
TXN00000198,G100007,5388,2026-01-23,20:46:44,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000078,G100011,4610,2026-01-24,07:38:09,Spa,Facial Treatment,Serenity Spa,3,199,597,107.46,704.46,Posted,SPARES0174,System,
TXN00000204,G100171,5320,2026-01-24,09:16:42,Spa,Deep Tissue Massage,Serenity Spa,2,189,378,68.04,446.04,Posted,SPARES0126,System,
TXN00000079,G100080,4331,2026-01-24,10:33:23,Gratuity,Daily Gratuity,Auto-Charge,1,18,18,0,18,Posted,,System,1 guests
TXN00000213,G100072,4270,2026-01-24,12:27:06,Beverage,Champagne - Glass,Champagne Bar,3,22,66,11.88,77.88,Posted,,System,
TXN00000005,G100102,5931,2026-01-24,17:03:25,Dining,Specialty Dining Cover,Le Bistro,3,49,147,26.46,173.46,Posted,DRES000142,System,
TXN00000141,G100164,5316,2026-01-24,18:05:43,Excursion,Shore Excursion Premium,Shore Excursions,2,149,298,0,298,Posted,EXCBK00170,System,
TXN00000105,G100084,5943,2026-01-24,22:25:32,Shopping,Souvenir Magnet,Gift Shop,3,8.99,26.97,0,26.97,Pending,,System,
TXN00000150,G100120,4429,2026-01-25,10:19:24,Spa,Facial Treatment,Serenity Spa,2,199,398,71.64,469.64,Posted,SPARES0048,System,
TXN00000177,G100117,4672,2026-01-25,13:45:04,Dining,Room Service Delivery,Room Service,2,12.95,25.9,4.66,30.56,Posted,DRES000043,System,
TXN00000178,G100117,4672,2026-01-25,16:23:06,Shopping,Perfume,Duty Free,2,79,158,0,158,Posted,,System,
TXN00000098,G100024,5991,2026-01-25,16:59:36,Excursion,Shore Excursion,Shore Excursions,1,89,89,0,89,Posted,EXCBK00185,System,
TXN00000144,G100164,5316,2026-01-25,17:09:17,Entertainment,Casino Credits,Casino,2,100,200,0,200,Posted,,System,
TXN00000113,G100052,5279,2026-01-25,23:21:34,Spa,Deep Tissue Massage,Serenity Spa,2,189,378,68.04,446.04,Posted,SPARES0091,System,
TXN00000194,G100060,8721,2026-01-26,06:06:16,Spa,Facial Treatment,Serenity Spa,1,199,199,35.82,234.82,Posted,SPARES0057,System,
TXN00000047,G100159,5380,2026-01-26,08:19:35,Shopping,Gold Pendant,Jewelry Store,3,189,567,0,567,Posted,,System,
TXN00000173,G100032,8538,2026-01-26,13:36:53,Dining,Specialty Dining Cover,Le Bistro,1,49,49,8.82,57.82,Posted,DRES000435,System,
TXN00000072,G100195,4581,2026-01-26,16:11:31,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000202,G100171,5320,2026-01-26,19:24:00,Beverage,Premium Wine - Glass,Wine Bar,2,18,36,6.48,42.48,Posted,,System,
TXN00000152,G100120,4429,2026-01-27,10:24:15,Excursion,Shore Excursion Group,Shore Excursions,3,69,207,0,207,Posted,EXCBK00066,System,
TXN00000112,G100045,4907,2026-01-27,10:33:13,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000054,G100200,8848,2026-01-27,10:55:16,Shopping,Ship Model,Gift Shop,1,49.99,49.99,0,49.99,Posted,,System,
TXN00000017,G100013,4156,2026-01-27,16:42:16,Dining,Specialty Dining Cover,Le Bistro,2,49,98,17.64,115.64,Posted,DRES000192,System,
TXN00000210,G100072,4270,2026-01-27,20:31:10,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000076,G100011,4610,2026-01-28,08:42:40,Communication,WiFi - Streaming Voyage,Guest Services,1,149,149,0,149,Posted,,System,
TXN00000128,G100129,5149,2026-01-28,09:11:08,Spa,Swedish Massage,Serenity Spa,2,159,318,57.24,375.24,Posted,SPARES0123,System,
TXN00000020,G100156,4676,2026-01-28,15:22:06,Beverage,Premium Wine - Bottle,Wine Bar,3,65,195,35.1,230.1,Posted,,System,
TXN00000035,G100091,8962,2026-01-28,18:33:05,Dining,Specialty Dining Cover,Teppanyaki,2,55,110,19.8,129.8,Posted,DRES000203,System,
TXN00000201,G100007,5388,2026-01-28,18:40:11,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000027,G100074,4806,2026-01-28,19:17:13,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000033,G100192,4935,2026-01-28,19:18:07,Excursion,Shore Excursion Group,Shore Excursions,3,69,207,0,207,Pending,EXCBK00104,System,
TXN00000016,G100013,4156,2026-01-28,19:21:52,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000013,G100176,5782,2026-01-28,20:04:57,Dining,Specialty Dining Cover,Ocean Blue,3,59,177,31.86,208.86,Posted,DRES000042,System,
TXN00000031,G100059,4545,2026-01-28,23:45:14,Shopping,Souvenir Magnet,Gift Shop,2,8.99,17.98,0,17.98,Posted,,System,
TXN00000057,G100175,6576,2026-01-29,07:25:32,Spa,Swedish Massage,Serenity Spa,2,159,318,57.24,375.24,Posted,SPARES0096,System,
